처리 단계,처리 항목,대상 파일 / 변수,처리 전 N,처리 후 N,N 변화,처리 내용,처리 기준 / 규칙,산출 파일,비고
05 analysis_total,주요 분석 변수 확인,"it_org_any, it_org_type, it_org_internal, it_org_mixed, it_org_outsource, ai_use, ai_use_sum, ai_impl_sum, ai_purpose_sum, effect_proc_improve, effect_average, firm_size, industry, region, firm_type, weight, it_invest_sum, it_invest_share, it_invest_share_std4, it_invest_high, dmi, mgmt_sys_sum, iot_use_sum, cloud_use_sum, data_analysis_sum","12,203","12,203",0,"주요 변수 포함 여부, 결측 수, 값 분포 확인",analysis_total 파일 기준으로 계산,output/tables/preprocessing_summary_log.csv,"it_org_any(유효 12,203, 결측 0, 분포 0:5,853; 1:6,350) / it_org_type(유효 12,203, 결측 0, 분포 0:5,853; 1:1,742; 2:3,091; 3:637; 4:880) / it_org_internal(유효 12,203, 결측 0, 분포 0:10,083; 1:2,120) / it_org_mixed(유효 12,203, 결측 0, 분포 0:8,349; 1:3,854) / it_org_outsource(유효 12,203, 결측 0, 분포 0:10,831; 1:1,372) / ai_use(유효 12,203, 결측 0, 분포 0:7,139; 1:5,064) / ai_use_sum(유효 12,203, 결측 0, 범위 0~9, 평균 0.8768) / ai_impl_sum(유효 12,203, 결측 0, 범위 0~6, 평균 0.5315) / ai_purpose_sum(유효 12,203, 결측 0, 범위 0~9, 평균 0.8884) / effect_proc_improve(유효 12,203, 결측 0, 분포 1:27; 2:252; 3:2,809; 4:6,039; 5:3,076) / ..."
05 analysis_total,주요 분석 변수 분포 확인 1,주요 변수,"12,203","12,203",0,"유효 응답 수, 결측 수, 값 분포/범위 확인",analysis_total 파일 기준,output/tables/preprocessing_summary_log.csv,"it_org_any(유효 12,203, 결측 0, 분포 0:5,853; 1:6,350) / it_org_type(유효 12,203, 결측 0, 분포 0:5,853; 1:1,742; 2:3,091; 3:637; 4:880) / it_org_internal(유효 12,203, 결측 0, 분포 0:10,083; 1:2,120) / it_org_mixed(유효 12,203, 결측 0, 분포 0:8,349; 1:3,854) / it_org_outsource(유효 12,203, 결측 0, 분포 0:10,831; 1:1,372)"
05 analysis_total,주요 분석 변수 분포 확인 2,주요 변수,"12,203","12,203",0,"유효 응답 수, 결측 수, 값 분포/범위 확인",analysis_total 파일 기준,output/tables/preprocessing_summary_log.csv,"ai_use(유효 12,203, 결측 0, 분포 0:7,139; 1:5,064) / ai_use_sum(유효 12,203, 결측 0, 범위 0~9, 평균 0.8768) / ai_impl_sum(유효 12,203, 결측 0, 범위 0~6, 평균 0.5315) / ai_purpose_sum(유효 12,203, 결측 0, 범위 0~9, 평균 0.8884) / effect_proc_improve(유효 12,203, 결측 0, 분포 1:27; 2:252; 3:2,809; 4:6,039; 5:3,076)"
05 analysis_total,주요 분석 변수 분포 확인 3,주요 변수,"12,203","12,203",0,"유효 응답 수, 결측 수, 값 분포/범위 확인",analysis_total 파일 기준,output/tables/preprocessing_summary_log.csv,"effect_average(유효 12,203, 결측 0, 범위 1~5, 평균 3.632) / firm_size(유효 12,203, 결측 0, 분포 1:5,666; 2:3,784; 3:2,113; 4:640) / industry(유효 12,203, 결측 0, 범위 1~16, 평균 6.763) / region(유효 12,203, 결측 0, 범위 1~17, 평균 6.614) / firm_type(유효 12,203, 결측 0, 분포 1:1,661; 2:10,542)"
05 analysis_total,주요 분석 변수 분포 확인 4,주요 변수,"12,203","12,203",0,"유효 응답 수, 결측 수, 값 분포/범위 확인",analysis_total 파일 기준,output/tables/preprocessing_summary_log.csv,"weight(유효 12,203, 결측 0, 범위 0.9956~59.42, 평균 17.48) / it_invest_sum(유효 12,203, 결측 0, 범위 1~8, 평균 3.201) / it_invest_share(유효 12,203, 결측 0, 범위 1~100, 평균 2.064) / it_invest_share_std4(유효 12,203, 결측 0, 분포 1:10,434; 2:898; 3:673; 4:198) / it_invest_high(유효 12,203, 결측 0, 분포 0:11,196; 1:1,007)"
05 analysis_total,주요 분석 변수 분포 확인 5,주요 변수,"12,203","12,203",0,"유효 응답 수, 결측 수, 값 분포/범위 확인",analysis_total 파일 기준,output/tables/preprocessing_summary_log.csv,"dmi(유효 12,203, 결측 0, 범위 0~29, 평균 5.951) / mgmt_sys_sum(유효 12,203, 결측 0, 분포 0:2,484; 1:6,179; 2:2,741; 3:718; 4:81) / iot_use_sum(유효 12,203, 결측 0, 범위 0~7, 평균 1.157) / cloud_use_sum(유효 12,203, 결측 0, 범위 0~11, 평균 2.493) / data_analysis_sum(유효 12,203, 결측 0, 범위 0~8, 평균 1.143)"
