Q33,Q33A1,Q33A2,Q33A3,Q32,Q50,Q58A1,Q58A2,D_SIZE,D_IND,D_INDSIZE,WT,year
2, , , , ,2,2,2,1,2,21,202.612735,2019
2, , , ,2,3,3,2,1,13,131,1345.051351,2019
2, , , ,2,3,3,3,4,3,34,17.02093302,2019
2, , , ,2,1,4,3,4,3,34,17.02093302,2019
2, , , ,2,3,4,3,1,10,101,378.2484627,2019
2, , , ,2,1,1,1,1,6,61,2180.352917,2019
2, , , , ,3,1,1,1,2,21,202.612735,2019
2, , , ,2,3,3,3,2,12,122,122.5666796,2019
2, , , ,2,3,4,3,5,3,35,3.518689861,2019
2, , , ,2,3,2,3,2,12,122,130.4935467,2019
2, , , ,2,3,5,5,2,13,132,223.4994391,2019
2, , , ,2,3,3,3,2,5,52,60.02235723,2019
2, , , ,2,3,1,3,1,12,121,2416.157591,2019
2, , , ,2,3,3,3,3,5,53,47.84940084,2019
1,1,0,1,3,2,5,5,4,8,84,12.25910528,2019
2, , , ,2,3,3,4,3,5,53,47.84940084,2019
2, , , ,2,2,4,4,5,11,115,4.829986465,2019
2, , , ,2,3,3,3,4,2,24,24.72816413,2019
2, , , ,2,3,3,3,3,13,133,270.8841097,2019
2, , , ,2,3,5,4,2,10,102,73.90051307,2019
2, , , ,2,3,4,4,2,2,22,111.5062705,2019
2, , , ,2,3,4,4,3,7,73,47.79998351,2019
2, , , ,2,2,3,4,2,11,112,48.62386086,2019
2, , , ,2,2,4,2,2,3,32,182.1328551,2019
2, , , , ,3,3,3,1,12,121,2416.157591,2019
2, , , ,2,2,5,4,2,3,32,184.6501769,2019
2, , , , ,3,2,2,1,11,111,238.6002982,2019
2, , , , ,2,3,3,1,3,31,456.1414844,2019
2, , , ,2,2,5,2,1,3,31,498.4694751,2019
2, , , ,2,2,3,4,1,3,31,456.1414844,2019
2, , , ,2,2,4,4,2,3,32,181.7823915,2019
2, , , ,2,2,5,4,3,3,33,155.2961357,2019
2, , , ,2,2,4,3,4,3,34,17.02093302,2019
2, , , ,2,2,4,2,3,3,33,169.706957,2019
2, , , ,2,3,3,3,4,5,54,14.02627114,2019
2, , , ,2,3,4,3,5,5,55,2.051262725,2019
2, , , ,2,3,3,3,4,5,54,14.02627114,2019
2, , , ,2,3,4,3,3,5,53,47.84940084,2019
2, , , ,2,3,3,3,4,5,54,8.822154107,2019
1,0,1,1,2,2,5,5,5,2,25,2.005390742,2019
1,1,0,1,3,1,5,5,5,2,25,2.005390742,2019
1,1,0,1,2,1,5,5,5,13,135,8.766879686,2019
2, , , ,2,2,5,5,3,13,133,306.4129902,2019
2, , , ,2,2,4,3,2,13,132,383.485522,2019
2, , , ,2,2,5,5,3,13,133,306.4129902,2019
2, , , ,2,2,4,4,3,13,133,280.3936514,2019
2, , , ,2,2,5,5,2,13,132,419.8792882,2019
2, , , ,2,3,5,5,2,13,132,419.8792882,2019
2, , , ,2,2,5,5,4,13,134,48.41676877,2019
2, , , ,2,2,5,5,4,13,134,93.2361136,2019
2, , , ,2,2,4,4,4,13,134,85.31888387,2019
1,1,0,1,2,2,5,5,5,13,135,5.04589791,2019
1,1,0,1,2,2,5,5,5,13,135,8.905185322,2019
1,0,1,1,2,2,5,5,5,13,135,5.533107124,2019
1,1,0,1,2,2,5,5,5,13,135,5.053515458,2019
1,0,1,1,2,2,4,4,5,13,135,5.053515458,2019
2, , , ,2,2,3,3,4,13,134,48.41676877,2019
2, , , ,2,2,3,3,3,13,133,159.1178174,2019
2, , , ,2,2,4,5,3,13,133,159.1178174,2019
2, , , ,2,2,4,4,2,1,12,10.31152317,2019
2, , , ,2,3,4,3,2,1,12,10.31152317,2019
2, , , ,2,2,5,4,4,13,134,52.90963909,2019
2, , , ,2,2,5,5,4,13,134,52.90963909,2019
2, , , ,2,2,5,5,4,13,134,52.90963909,2019
1,0,1,0,2,2,4,5,2,13,132,236.2708682,2019
2, , , ,2,3,4,4,4,2,24,27.4197031,2019
2, , , ,2,2,4,4,1,6,61,2304.94483,2019
2, , , ,2,3,3,3,1,6,61,2350.529472,2019
2, , , ,2,2,3,3,1,6,61,2304.94483,2019
2, , , ,2,3,4,2,1,2,21,214.1906351,2019
2, , , ,2,3,4,4,2,2,22,97.20167364,2019
2, , , ,2,3,3,3,1,2,21,214.1906351,2019
1,0,1,0,2,2,4,4,2,8,82,54.1395953,2019
1,0,1,0,2,2,4,2,3,8,83,82.93686255,2019
1,0,1,0,2,2,4,4,3,2,23,82.70428195,2019
2, , , , ,3,4,4,2,2,22,107.8973193,2019
1,1,0,0,2,3,4,4,4,5,54,15.55296172,2019
1,0,1,1,2,2,4,4,3,2,23,82.70428195,2019
1,1,0,0,2,2,5,5,4,4,44,13.92346997,2019
2, , , ,2,3,4,3,2,2,22,107.8973193,2019
1,0,1,0,2,2,4,4,2,8,82,86.0761027,2019
1,0,1,0,2,2,4,4,2,8,82,54.1395953,2019
2, , , ,2,3,4,4,4,8,84,14.33821593,2019
1,0,1,0,2,2,4,4,5,2,25,4.261452493,2019
2, , , ,2,3,3,2,2,2,22,107.8973193,2019
2, , , ,2,1,5,2,4,5,54,15.55296172,2019
1,0,0,1,2,2,4,3,4,8,84,9.018359142,2019
2, , , ,2,2,4,2,4,5,54,15.55296172,2019
1,0,0,1,3,3,4,4,4,8,84,14.33821593,2019
2, , , ,2,2,5,2,4,5,54,15.55296172,2019
1,0,0,1,2,3,4,3,4,8,84,14.33821593,2019
1,1,0,0,2,2,4,3,4,2,24,21.77006782,2019
1,1,0,0,2,3,3,3,4,7,74,8.357504393,2019
2, , , ,2,2,3,3,2,1,12,6.485675744,2019
1,0,1,0,2,2,4,3,3,2,23,65.66365145,2019
1,0,0,1,2,2,4,4,3,2,23,65.66365145,2019
2, , , ,2,2,4,4,3,13,133,139.8722565,2019
2, , , ,2,3,5,4,3,1,13,5.269789404,2019
2, , , ,2,2,4,2,4,5,54,15.55296172,2019
2, , , ,2,3,2,2,3,2,23,82.40192673,2019
2, , , ,3,2,3,4,2,4,42,446.560551,2019
2, , , ,2,2,4,2,1,2,21,173.4213964,2019
2, , , ,2,2,4,4,3,2,23,74.23358835,2019
2, , , ,2,2,4,4,4,8,84,8.312469989,2019
1,0,1,0,2,2,2,4,3,2,23,72.88899156,2019
1,1,0,1,2,2,4,3,5,13,135,1.164861304,2019
2, , , ,2,1,4,4,5,5,55,2.274532578,2019
2, , , ,2,2,5,4,3,2,23,74.23358835,2019
2, , , ,2,3,4,2,4,5,54,15.55296172,2019
1,0,0,1,2,2,3,2,3,2,23,74.23358835,2019
1,0,1,0,2,2,4,3,4,5,54,15.55296172,2019
2, , , ,2,2,4,4,3,5,53,47.6233384,2019
1,0,1,0,2,2,3,3,3,6,63,101.9171143,2019
2, , , ,2,3,3,3,3,2,23,74.23358835,2019
2, , , ,2,3,4,4,3,2,23,74.23358835,2019
2, , , ,2,3,4,3,3,2,23,74.23358835,2019
2, , , ,2,3,4,3,3,2,23,74.23358835,2019
2, , , ,2,3,4,4,3,2,23,74.23358835,2019
1,0,0,1,2,3,4,3,3,2,23,74.23358835,2019
2, , , ,2,1,3,3,3,2,23,74.23358835,2019
1,0,1,1,3,3,5,5,2,5,52,33.84947032,2019
2, , , ,2,3,5,3,2,13,132,461.3359319,2019
1,0,0,1,2,2,3,2,3,2,23,74.23358835,2019
2, , , ,2,3,3,3,3,4,43,167.7369126,2019
1,0,0,1,2,3,3,3,4,8,84,14.33821593,2019
2, , , ,2,3,1,1,2,5,52,54.07246087,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,2,4,4,4,10,104,14.03108302,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,2,4,4,2,10,102,126.2011523,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,2,4,4,3,10,103,44.96419656,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
1,1,0,0,2,2,4,4,5,10,105,4.550748428,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,3,1,1,2,2,22,108.4094954,2019
2, , , ,2,3,1,1,1,2,21,177.4589302,2019
1,0,0,1,2,3,5,3,3,8,83,118.3552838,2019
2, , , ,2,3,1,1,1,2,21,177.4589302,2019
1,0,0,1,2,3,5,5,2,8,82,48.59453871,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,2,5,5,3,13,133,337.3156457,2019
2, , , ,2,3,1,1,2,2,22,108.4094954,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,2,4,3,2,8,82,58.73709197,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,3,3,2,5,13,135,10.06223966,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,3,4,3,3,13,133,337.3156457,2019
2, , , ,2,3,3,3,3,4,43,167.7369126,2019
2, , , ,2,3,4,4,3,8,83,143.0581578,2019
2, , , ,2,3,1,1,1,5,51,1752.52197,2019
2, , , ,2,3,4,4,4,11,114,12.72838444,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
2, , , ,3,2,4,3,3,2,23,74.23358835,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
2, , , ,2,3,4,3,2,2,22,107.8973193,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,3,3,3,3,12,123,102.291985,2019
2, , , ,2,3,1,1,2,2,22,97.66307867,2019
1,0,1,0,2,3,1,1,3,5,53,47.84940084,2019
2, , , ,2,3,1,1,3,5,53,47.84940084,2019
1,0,0,1,2,3,1,1,3,5,53,47.84940084,2019
2, , , ,2,3,1,1,3,5,53,47.84940084,2019
2, , , ,2,3,1,1,3,5,53,47.84940084,2019
2, , , ,2,3,1,1,3,5,53,47.84940084,2019
2, , , ,2,3,1,1,3,5,53,52.28962183,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,2,3,4,3,2,23,90.47592487,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
1,0,1,0,2,2,4,5,3,2,23,90.47592487,2019
2, , , ,2,3,1,1,1,2,21,196.9857324,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
1,0,1,0,2,2,3,3,2,2,22,118.4694357,2019
2, , , ,2,2,3,2,3,3,33,169.706957,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,2,4,3,2,2,22,118.4694357,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,2,4,2,4,3,34,17.02093302,2019
2, , , ,2,2,4,4,2,2,22,118.4694357,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,2,4,3,2,2,22,118.4694357,2019
2, , , ,2,3,1,1,3,5,53,47.84940084,2019
2, , , ,2,2,4,2,4,3,34,11.6991624,2019
1,0,1,0,2,2,2,2,2,2,22,118.4694357,2019
2, , , ,2,3,1,1,2,5,52,54.07246087,2019
2, , , ,2,2,4,4,2,2,22,106.7257972,2019
1,0,0,1,2,3,1,1,2,5,52,60.02235723,2019
2, , , ,2,2,4,4,1,8,81,92.68226019,2019
2, , , ,2,2,3,3,2,2,22,106.7257972,2019
1,0,0,1,2,3,1,1,2,5,52,54.07246087,2019
1,0,0,1,2,2,4,3,3,2,23,81.50722719,2019
1,0,1,0,2,2,4,4,3,2,23,81.50722719,2019
2, , , ,2,3,2,2,1,8,81,92.68226019,2019
2, , , ,2,2,3,2,1,8,81,101.2827799,2019
2, , , ,2,3,4,4,3,2,23,90.47592487,2019
2, , , ,2,2,4,4,2,8,82,48.82521133,2019
1,0,1,1,2,2,4,4,3,2,23,81.50722719,2019
1,0,0,1,2,2,4,4,2,8,82,48.82521133,2019
1,1,0,0,2,2,2,3,3,2,23,90.47592487,2019
1,0,0,1,2,2,4,5,2,8,82,53.35598339,2019
1,1,0,0,2,3,3,4,3,2,23,81.50722719,2019
1,0,0,1,2,2,4,5,2,8,82,53.35598339,2019
2, , , ,2,2,2,4,3,2,23,81.50722719,2019
2, , , ,2,2,5,5,3,2,23,81.50722719,2019
2, , , ,2,1,4,2,3,2,23,90.47592487,2019
1,0,1,0,2,3,2,3,3,2,23,81.50722719,2019
1,0,0,1,2,3,4,4,3,2,23,81.50722719,2019
2, , , ,2,2,3,3,1,2,21,215.2651709,2019
2, , , ,2,2,4,2,1,2,21,215.2651709,2019
2, , , ,2,3,1,1,2,5,52,60.02235723,2019
2, , , ,2,2,4,3,2,1,12,10.31152317,2019
2, , , , ,2,4,4,1,2,21,215.2651709,2019
2, , , ,2,3,1,1,2,5,52,54.07246087,2019
2, , , ,2,1,5,5,1,2,21,215.2651709,2019
2, , , ,2,2,3,3,1,2,21,215.2651709,2019
2, , , ,2,3,1,1,2,5,52,54.07246087,2019
2, , , ,2,3,2,2,1,2,21,215.2651709,2019
2, , , ,2,3,3,2,1,2,21,215.2651709,2019
2, , , ,2,3,1,1,2,2,22,108.4094954,2019
2, , , , ,3,3,3,1,2,21,215.2651709,2019
2, , , ,2,3,1,1,2,2,22,97.66307867,2019
1,0,1,0,2,1,4,4,1,2,21,215.2651709,2019
2, , , ,2,3,1,1,2,2,22,108.4094954,2019
2, , , ,2,3,1,1,2,2,22,97.66307867,2019
2, , , ,2,3,2,2,1,2,21,215.2651709,2019
2, , , ,2,3,1,1,2,2,22,108.4094954,2019
2, , , , ,3,2,2,1,2,21,215.2651709,2019
2, , , ,2,2,4,3,1,2,21,215.2651709,2019
2, , , ,2,3,1,1,2,2,22,108.4094954,2019
2, , , ,2,2,4,2,2,1,12,10.31152317,2019
2, , , ,2,3,3,3,1,2,21,215.2651709,2019
2, , , ,2,2,4,4,1,2,21,215.2651709,2019
2, , , ,2,3,4,4,1,2,21,215.2651709,2019
2, , , ,2,3,3,3,1,2,21,215.2651709,2019
2, , , , ,3,1,1,1,2,21,215.2651709,2019
2, , , , ,3,1,1,1,2,21,215.2651709,2019
2, , , ,2,2,4,3,1,2,21,215.2651709,2019
2, , , ,2,2,3,3,1,2,21,215.2651709,2019
2, , , ,2,3,3,3,1,2,21,193.9263646,2019
2, , , , ,3,2,2,1,2,21,215.2651709,2019
2, , , , ,3,1,1,1,2,21,215.2651709,2019
2, , , , ,3,3,3,1,2,21,215.2651709,2019
2, , , ,2,3,3,3,1,2,21,215.2651709,2019
2, , , ,2,3,3,3,1,2,21,215.2651709,2019
2, , , ,2,2,4,4,2,13,132,393.6147416,2019
2, , , ,2,2,4,5,3,13,133,158.877967,2019
2, , , ,2,2,5,5,5,13,135,5.04589791,2019
1,1,0,1,2,2,5,5,5,13,135,5.52246021,2019
2, , , ,2,2,4,4,5,13,135,5.04589791,2019
2, , , ,2,2,4,5,4,13,134,87.57245972,2019
2, , , ,2,2,5,4,4,13,134,48.41676877,2019
2, , , ,2,3,4,3,3,3,33,186.822405,2019
2, , , ,2,3,4,3,1,2,21,202.612735,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
2, , , , ,3,4,4,2,2,22,97.20167364,2019
2, , , , ,3,4,4,2,2,22,97.20167364,2019
2, , , ,2,3,3,3,2,2,22,107.8973193,2019
2, , , ,2,3,4,4,2,2,22,97.20167364,2019
2, , , ,2,3,2,2,2,2,22,107.8973193,2019
2, , , ,2,3,4,4,2,2,22,97.20167364,2019
2, , , ,2,3,3,3,4,2,24,24.61133698,2019
2, , , ,2,3,3,3,2,2,22,97.20167364,2019
2, , , ,2,3,3,3,2,2,22,97.20167364,2019
2, , , , ,3,3,3,2,2,22,97.20167364,2019
1,0,1,0,2,2,5,5,5,8,85,2.313882766,2019
2, , , ,2,3,4,4,2,2,22,101.3430664,2019
2, , , ,2,3,4,4,4,13,134,96.40440105,2019
2, , , ,2,2,4,4,3,13,133,191.4199164,2019
2, , , ,4,3,3,3,3,2,23,74.23358835,2019
2, , , ,2,3,5,5,3,13,133,191.4199164,2019
1,1,0,0,2,2,3,3,4,8,84,7.461094647,2019
2, , , ,2,3,3,3,3,2,23,74.23358835,2019
2, , , ,2,3,3,3,2,2,22,107.8973193,2019
1,0,1,0,2,2,5,4,4,5,54,13.96000462,2019
2, , , ,2,3,5,4,2,2,22,107.8973193,2019
2, , , ,2,3,3,2,2,2,22,107.8973193,2019
2, , , ,2,2,4,3,4,5,54,13.96000462,2019
2, , , ,2,2,1,1,1,12,121,2337.957552,2019
2, , , ,2,2,5,5,4,13,134,87.57245972,2019
2, , , ,2,2,4,4,4,13,134,52.82988436,2019
1,0,1,1,2,2,5,5,5,13,135,5.04589791,2019
2, , , ,2,3,5,4,2,2,22,107.8973193,2019
2, , , ,2,3,2,2,3,1,13,5.269789404,2019
1,1,0,1,2,2,5,5,4,13,134,52.90963909,2019
2, , , ,2,3,3,3,1,2,21,196.0550817,2019
2, , , ,2,3,3,3,1,2,21,196.0550817,2019
2, , , ,2,3,4,4,1,2,21,196.0550817,2019
2, , , ,2,3,3,3,4,11,114,12.72838444,2019
2, , , ,2,3,3,3,5,11,115,4.673661756,2019
1,1,0,0,2,3,4,4,3,11,113,42.79087927,2019
2, , , ,2,3,3,3,5,11,115,1.272309723,2019
1,0,1,0,2,2,3,4,2,8,82,52.81497799,2019
1,1,0,0,2,2,5,2,2,5,52,59.95798212,2019
2, , , ,2,3,3,3,2,2,22,107.8973193,2019
2, , , , ,2,4,4,2,8,82,86.0761027,2019
2, , , ,2,3,3,3,2,2,22,107.8973193,2019
1,0,1,0,2,2,4,4,2,8,82,83.9701044,2019
2, , , ,2,3,3,3,2,2,22,107.8973193,2019
1,0,1,0,2,2,4,4,5,2,25,3.383410442,2019
1,0,1,0,2,2,4,4,4,2,24,21.77006782,2019
1,0,1,1,2,2,4,3,2,8,82,83.9701044,2019
2, , , , ,3,3,3,2,2,22,107.8973193,2019
2, , , ,2,3,3,3,2,2,22,97.20167364,2019
2, , , ,2,3,3,3,2,2,22,107.8973193,2019
1,0,0,1,2,3,4,4,4,8,84,14.33821593,2019
2, , , ,2,3,5,4,2,7,72,58.65311901,2019
2, , , ,2,2,4,3,2,1,12,9.647226402,2019
2, , , ,2,2,4,3,1,8,81,102.7702681,2019
2, , , ,2,3,4,2,1,6,61,2350.529472,2019
1,1,0,0,2,2,4,4,5,2,25,3.383410442,2019
2, , , ,2,3,5,3,2,13,132,394.4399907,2019
1,0,1,0,2,2,4,3,2,1,12,9.647226402,2019
1,0,1,0,2,2,5,1,4,7,74,9.31116783,2019
1,1,0,0,2,3,4,3,3,7,73,30.06492722,2019
1,0,1,0,2,2,4,4,3,5,53,53.05757264,2019
1,0,0,1,2,2,5,3,3,8,83,89.97980307,2019
2, , , ,2,1,3,3,4,5,54,14.42693906,2019
2, , , ,2,2,4,2,4,5,54,15.55296172,2019
1,0,1,0,2,2,5,4,2,8,82,93.3856253,2019
2, , , ,2,3,5,5,2,2,22,111.5062705,2019
1,0,1,0,2,3,5,5,4,13,134,49.79981962,2019
2, , , ,2,3,4,3,1,12,121,1369.054556,2019
2, , , ,2,3,3,3,1,2,21,182.5281394,2019
1,0,1,0,2,1,4,4,5,13,135,4.448990781,2019
2, , , ,2,2,4,3,2,1,12,9.647226402,2019
2, , , ,2,3,3,2,1,2,21,202.612735,2019
2, , , ,2,3,5,3,1,12,121,2269.38742,2019
2, , , ,2,3,5,5,2,2,22,111.5062705,2019
2, , , ,2,3,5,4,2,11,112,50.01282742,2019
2, , , ,2,2,4,3,4,11,114,13.15412364,2019
1,0,1,0,2,2,3,4,5,2,25,2.18088899,2019
2, , , , ,3,1,1,1,2,21,202.612735,2019
2, , , , ,3,3,3,1,2,21,202.612735,2019
1,0,0,1,2,2,4,3,3,2,23,76.71655453,2019
2, , , ,2,2,4,3,2,8,82,52.81497799,2019
2, , , ,2,3,3,3,1,2,21,202.612735,2019
1,1,0,0,2,3,4,4,5,11,115,1.314865957,2019
2, , , ,2,3,4,1,2,4,42,461.4971149,2019
2, , , ,2,3,1,2,5,11,115,4.829986465,2019
2, , , ,2,3,4,4,4,3,34,17.50714507,2019
2, , , ,2,3,5,5,2,11,112,52.14368334,2019
2, , , ,2,2,4,3,1,2,21,213.08248,2019
2, , , , ,3,4,3,1,12,121,2416.157591,2019
2, , , ,2,2,4,3,2,2,22,111.5062705,2019
2, , , ,2,3,4,3,1,2,21,202.612735,2019
2, , , ,2,2,4,3,2,7,72,32.7493286,2019
2, , , ,2,3,5,4,2,5,52,55.61706959,2019
2, , , ,2,2,5,4,1,9,91,809.9354492,2019
2, , , , ,3,1,1,1,12,121,2416.157591,2019
2, , , ,2,3,2,2,1,2,21,202.612735,2019
1,0,1,0,2,3,4,3,2,9,92,101.2641092,2019
2, , , ,2,3,2,2,1,11,111,238.6002982,2019
2, , , ,2,2,4,3,2,7,72,32.7493286,2019
2, , , ,2,2,3,3,3,2,23,76.71655453,2019
2, , , ,2,3,4,3,3,13,133,163.6631028,2019
2, , , ,2,3,3,3,3,9,93,51.94971263,2019
2, , , ,2,2,3,3,3,5,53,52.28962183,2019
2, , , ,2,3,1,1,1,2,21,202.612735,2019
2, , , ,2,2,3,4,2,7,72,32.7493286,2019
2, , , ,2,3,4,2,1,11,111,238.6002982,2019
2, , , ,2,2,4,2,4,2,24,27.44914282,2019
2, , , , ,3,1,1,1,2,21,202.612735,2019
2, , , ,2,3,4,4,1,2,21,202.612735,2019
2, , , ,2,3,3,3,2,4,42,512.2782327,2019
1,0,1,0,2,2,4,4,4,2,24,24.72816413,2019
2, , , ,2,2,5,5,2,9,92,97.12594302,2019
2, , , ,2,2,4,3,3,2,23,74.58596656,2019
2, , , ,2,2,1,3,2,4,42,512.2782327,2019
2, , , ,2,2,5,4,3,2,23,82.79307908,2019
1,0,1,0,2,2,4,3,1,8,81,84.49914682,2019
2, , , ,2,3,4,3,4,10,104,14.50039489,2019
2, , , ,2,2,3,2,3,2,23,74.58596656,2019
2, , , ,2,3,3,2,3,3,33,159.7322528,2019
2, , , ,2,3,4,2,2,10,102,130.4223304,2019
2, , , ,2,2,3,3,3,2,23,74.58596656,2019
2, , , ,2,2,3,4,3,2,23,82.79307908,2019
1,1,1,1,2,1,4,4,5,10,105,3.298719175,2019
2, , , ,2,2,5,3,3,2,23,82.79307908,2019
2, , , ,2,2,3,4,3,2,23,74.58596656,2019
1,0,1,0,2,2,5,3,4,2,24,24.72816413,2019
1,1,0,0,2,2,4,5,4,2,24,24.72816413,2019
1,0,1,0,2,2,4,2,4,2,24,27.44914282,2019
1,0,1,0,2,2,5,4,3,2,23,74.58596656,2019
2, , , ,2,2,3,4,3,2,23,82.79307908,2019
1,1,0,0,2,2,5,4,5,13,135,1.331486363,2019
2, , , ,2,2,3,2,5,2,25,4.17880865,2019
1,1,0,0,2,1,4,4,5,2,25,4.17880865,2019
1,1,0,0,2,2,5,5,5,2,25,4.17880865,2019
1,1,0,0,2,2,3,3,4,2,24,26.88794318,2019
1,0,0,1,2,2,4,2,5,2,25,4.17880865,2019
2, , , ,4,2,5,4,4,2,24,26.88794318,2019
2, , , ,2,1,4,3,5,2,25,4.17880865,2019
1,0,0,1,3,1,3,4,5,2,25,4.17880865,2019
1,1,0,0,3,2,4,3,5,2,25,4.17880865,2019
1,0,1,0,2,1,4,4,5,2,25,4.17880865,2019
2, , , ,2,3,3,3,1,2,21,196.0550817,2019
2, , , ,2,3,3,3,1,2,21,196.0550817,2019
2, , , ,2,2,3,3,3,11,113,42.79087927,2019
2, , , ,2,3,5,4,2,2,22,117.8780736,2019
2, , , ,2,3,3,3,1,2,21,176.6205331,2019
2, , , ,2,2,4,2,2,13,132,461.3359319,2019
2, , , ,2,3,4,4,2,9,92,118.4382246,2019
2, , , ,2,3,4,4,2,13,132,461.3359319,2019
2, , , ,2,3,3,4,3,4,43,167.7369126,2019
2, , , ,2,3,5,5,1,7,71,172.846952,2019
1,0,0,1,2,3,3,3,3,2,23,74.23358835,2019
2, , , ,2,3,4,3,2,9,92,118.4382246,2019
2, , , ,2,3,3,3,3,1,13,8.378395358,2019
1,1,1,1,2,2,4,4,3,7,73,55.90672969,2019
2, , , ,2,3,4,2,2,2,22,97.20167364,2019
2, , , ,2,2,5,3,2,12,122,126.2700637,2019
2, , , ,2,3,3,3,3,7,73,46.25291531,2019
2, , , ,2,3,3,2,2,2,22,107.8973193,2019
2, , , ,2,2,3,1,1,1,11,14.57895517,2019
2, , , ,2,3,3,2,2,2,22,107.8973193,2019
2, , , ,2,3,3,1,1,1,11,14.57895517,2019
2, , , ,2,3,1,2,4,7,74,13.26749903,2019
1,0,1,1,2,3,4,4,5,11,115,1.272309723,2019
2, , , ,2,3,4,3,4,11,114,15.38502695,2019
1,0,1,0,2,3,4,4,3,7,73,55.90672969,2019
1,1,0,0,2,2,4,4,5,13,135,5.749094335,2019
1,0,0,1,2,3,3,3,2,2,22,107.8973193,2019
1,0,0,1,2,3,2,2,2,2,22,107.8973193,2019
1,0,0,1,2,3,4,3,2,2,22,97.20167364,2019
2, , , ,2,3,3,3,2,2,22,107.8973193,2019
2, , , ,2,2,5,4,3,2,23,74.58596656,2019
1,0,1,0,2,2,4,4,3,2,23,82.79307908,2019
2, , , ,2,2,4,5,4,5,54,14.02627114,2019
2, , , ,2,2,3,2,4,5,54,14.02627114,2019
1,1,0,0,2,2,4,4,4,5,54,14.02627114,2019
1,1,0,0,4,1,4,4,5,9,95,1.302441291,2019
2, , , ,2,3,4,3,1,11,111,208.9787381,2019
2, , , ,2,3,4,3,1,2,21,196.9857324,2019
2, , , ,2,3,3,2,1,2,21,196.9857324,2019
2, , , ,2,3,4,3,1,2,21,196.9857324,2019
2, , , ,2,3,3,2,1,2,21,196.9857324,2019
2, , , ,2,3,4,3,5,3,35,3.525473646,2019
2, , , ,2,2,3,2,5,3,35,3.219897098,2019
2, , , , ,3,4,3,1,2,21,224.0993557,2019
2, , , ,2,3,4,3,4,3,34,17.02093302,2019
2, , , ,2,3,2,3,3,3,33,169.706957,2019
2, , , ,2,3,3,2,3,3,33,155.2961357,2019
2, , , ,2,3,3,3,1,2,21,224.0993557,2019
2, , , ,2,3,3,3,1,9,91,787.4417549,2019
2, , , ,2,3,4,4,1,9,91,787.4417549,2019
2, , , ,2,3,3,3,3,9,93,57.54538196,2019
2, , , ,2,3,4,4,1,2,21,224.0993557,2019
2, , , ,2,3,4,3,3,9,93,52.6588633,2019
2, , , , ,3,4,4,1,2,21,224.0993557,2019
2, , , ,2,3,4,3,2,9,92,107.5876883,2019
2, , , ,2,3,4,3,2,9,92,98.45178148,2019
2, , , , ,3,4,2,1,2,21,224.0993557,2019
2, , , ,2,3,3,4,3,5,53,47.84940084,2019
2, , , ,2,3,4,3,1,2,21,224.0993557,2019
2, , , ,2,3,4,4,3,5,53,47.84940084,2019
2, , , ,2,3,3,2,2,11,112,53.13594845,2019
2, , , ,2,3,3,4,3,11,113,29.60845652,2019
2, , , ,2,3,4,3,5,11,115,5.131601732,2019
2, , , ,2,3,4,3,4,11,114,13.97555131,2019
2, , , ,2,3,4,4,1,2,21,224.0993557,2019
2, , , ,2,3,4,3,1,2,21,224.0993557,2019
2, , , , ,3,2,2,1,2,21,224.0993557,2019
1,1,0,0,2,2,3,3,5,2,25,4.372125446,2019
2, , , ,2,3,3,4,4,11,114,12.7888046,2019
2, , , ,2,3,3,3,2,2,22,108.4094954,2019
