Q33,Q33A1,Q33A2,Q33A3,Q32,Q50,Q58A1,Q58A2,D_SIZE,D_IND,D_INDSIZE,WT,year
1,1,0,0,2,2,3,3,2,1,12,9.948814145,2019
2, , , ,2,3,5,5,1,11,111,218.1039693,2019
1,1,0,0,2,2,3,3,4,11,114,13.34723845,2019
1,0,1,0,2,2,3,3,3,12,123,50.28405141,2019
1,1,0,0,2,2,4,3,5,13,135,5.274181435,2019
1,1,0,0,2,2,3,3,4,13,134,80.21761035,2019
1,1,0,0,2,2,5,4,5,13,135,5.274181435,2019
2, , , ,2,3,3,4,2,1,12,9.948814145,2019
2, , , ,2,2,3,4,1,2,21,205.587279,2019
1,1,0,0,2,2,3,2,5,13,135,5.26623126,2019
2, , , ,2,3,3,3,1,4,41,3854.803181,2019
1,1,0,0,2,2,3,3,5,6,65,1.30600806,2019
1,1,0,0,2,2,5,5,5,13,135,5.274181435,2019
2, , , , ,3,3,3,1,6,61,2212.362532,2019
2, , , ,2,3,5,5,1,9,91,821.8260573,2019
2, , , ,2,2,2,1,1,2,21,205.587279,2019
2, , , , ,3,3,3,1,4,41,3854.803181,2019
2, , , ,2,2,3,3,5,5,55,2.140832826,2019
2, , , ,2,2,5,5,2,9,92,98.55184249,2019
1,1,0,0,2,2,4,3,3,13,133,166.0658299,2019
2, , , ,2,3,3,4,2,1,12,6.257541346,2019
2, , , ,2,2,4,3,4,11,114,8.395060478,2019
1,0,1,0,2,2,5,5,4,4,44,13.10503172,2019
1,0,0,1,2,3,5,5,2,12,122,132.4093137,2019
2, , , ,2,3,4,4,3,5,53,49.93878493,2019
1,0,0,1,2,2,5,2,3,8,83,124.1097172,2019
1,0,1,0,2,2,4,3,4,3,34,17.76416629,2019
2, , , ,2,2,3,3,2,12,122,132.4093137,2019
2, , , ,2,3,2,2,2,3,32,173.6098184,2019
2, , , ,2,2,2,2,1,13,131,773.3282266,2019
2, , , , ,3,4,4,1,13,131,774.4956829,2019
2, , , ,2,3,3,3,4,2,24,25.80794009,2019
2, , , , ,3,3,3,1,12,121,2451.629039,2019
2, , , , ,3,3,3,1,13,131,1364.79796,2019
2, , , ,2,1,3,3,5,2,25,4.010959208,2019
2, , , ,2,3,3,3,3,8,83,124.1097172,2019
1,1,0,0,2,2,5,5,5,13,135,1.237824,2019
1,1,0,0,2,2,4,4,5,13,135,1.239692683,2019
2, , , ,2,2,4,4,3,4,43,91.52805065,2019
2, , , ,2,2,4,3,4,13,134,50.53092744,2019
2, , , ,2,2,4,4,3,1,13,9.752498612,2019
2, , , ,2,2,3,3,2,1,12,9.948814145,2019
2, , , ,2,2,4,4,1,11,111,218.1039693,2019
2, , , ,2,2,4,4,3,1,13,8.785752908,2019
2, , , ,2,2,4,3,2,9,92,102.7507608,2019
2, , , , ,3,3,4,1,6,61,2212.362532,2019
2, , , ,2,2,3,2,3,3,33,162.0772713,2019
2, , , , ,3,3,3,1,2,21,205.587279,2019
2, , , ,2,2,4,4,4,10,104,9.392115481,2019
