Q44,Q44A1,Q44A2,Q44A3,Q43,REQ43,Q36,Q45A1,Q45A3,Q45A5,D_SIZE,D_IND,D_INDSIZE,RIM_WT,year
1,0,0,1,1,1,2,4,4,3,1,4,41,27.3009567240363,2021
1,0,1,1,1,1,2,5,3,2,1,14,141,34.6959641325376,2021
1,0,0,1,1,1,2,5,5,1,1,4,41,27.3009567240363,2021
2, , , ,1,1,3,5,5,5,1,1,11,6.54291979756102,2021
2, , , ,1,1,3,4,3,4,1,1,11,6.54291979756102,2021
2, , , ,1,1,3,3,4,5,1,2,21,53.1949795365455,2021
1,1,0,0,2,2,2,5,4,3,3,7,73,1.03020899654945,2021
2, , , ,1,1,2,3,3,2,1,7,71,25.8475702899996,2021
1,1,0,0,3,2,2,3,3,3,3,7,73,1.3474960507385,2021
2, , , ,1,1,3,3,3,4,1,2,21,53.1949795365455,2021
1,0,0,1,1,1,2,4,4,4,1,4,41,27.3009567240363,2021
2, , , ,1,1,2,4,4,2,1,10,101,11.209825701582,2021
2, , , ,1,1,2,3,3,3,1,2,21,53.1949795365455,2021
2, , , ,1,1,3,5,3,2,1,12,121,26.4814970140077,2021
2, , , ,1,1,2,3,3,2,1,14,141,27.2444080132831,2021
1,0,0,1,1,1,2,4,3,3,1,4,41,27.3009567240363,2021
1,1,0,0,1,1,2,3,3,1,2,7,72,5.26301243219239,2021
2, , , ,1,1,2,4,4,2,1,11,111,25.3913746476886,2021
1,1,0,0,1,1,1,4,4,4,3,2,23,1.47247531264684,2021
1,0,0,1,1,1,2,5,3,3,1,4,41,27.3009567240363,2021
2, , , ,5,3,2,4,3,3,1,15,151,10.674828779043,2021
2, , , ,1,1,2,4,4,3,1,2,21,81.6425217842732,2021
1,0,0,1,1,1,2,5,5,5,1,4,41,27.3009567240363,2021
2, , , ,1,1,2,4,4,5,1,3,31,5.54563167690258,2021
1,0,1,1,1,1,2,3,2,2,1,4,41,36.6771530306084,2021
2, , , ,1,1,2,3,3,2,1,1,11,7.52046688498971,2021
1,0,0,1,1,1,2,4,3,5,1,2,21,53.1949795365455,2021
1,1,0,0,1,1,2,3,3,3,2,7,72,5.26301243219239,2021
1,0,0,1,1,1,2,3,3,4,1,2,21,53.1949795365455,2021
2, , , ,1,1,3,2,3,2,1,4,41,31.379865155643,2021
2, , , ,1,1,2,3,3,3,1,1,11,7.52046688498971,2021
2, , , ,1,1,3,3,4,2,1,4,41,31.379865155643,2021
1,0,1,1,1,1,2,3,5,3,2,4,42,5.41103307768272,2021
2, , , ,1,1,3,3,2,2,1,1,11,6.54291979756102,2021
2, , , ,1,1,2,5,5,5,1,1,11,10.1032838369194,2021
2, , , ,1,1,2,2,2,2,1,4,41,31.379865155643,2021
2, , , ,1,1,1,5,3,2,1,1,11,10.1032838369194,2021
2, , , ,1,1,2,5,5,2,1,1,11,10.1032838369194,2021
1,0,0,1,1,1,2,3,3,1,2,4,42,5.41103307768272,2021
2, , , ,1,1,2,4,4,4,1,4,41,31.379865155643,2021
2, , , ,1,1,3,4,5,4,1,3,31,5.54563167690258,2021
2, , , ,1,1,2,5,4,3,1,1,11,7.52046688498971,2021
2, , , ,1,1,2,5,4,3,3,2,23,1.47247531264684,2021
1,0,0,1,1,1,2,3,3,3,2,4,42,5.41103307768272,2021
2, , , ,1,1,2,3,3,2,1,4,41,31.379865155643,2021
2, , , ,1,1,2,3,4,2,2,2,22,7.06196741746573,2021
2, , , ,1,1,2,3,3,3,1,4,41,31.379865155643,2021
1,0,0,1,1,1,2,4,4,2,1,4,41,27.3009567240363,2021
1,1,0,1,1,1,1,5,4,4,2,2,22,7.06196741746573,2021
1,0,1,1,1,1,2,4,4,2,1,4,41,27.3009567240363,2021
2, , , ,1,1,2,4,3,2,1,2,21,53.1949795365455,2021
2, , , ,1,1,2,3,3,2,1,1,11,7.52046688498971,2021
1,0,0,1,1,1,2,5,3,2,1,1,11,7.52046688498971,2021
1,0,1,1,1,1,2,5,5,5,3,2,23,1.47247531264684,2021
1,0,0,1,1,1,2,5,3,1,1,4,41,27.3009567240363,2021
1,0,0,1,1,1,2,5,3,3,1,4,41,27.3009567240363,2021
2, , , ,1,1,2,3,3,3,1,4,41,31.379865155643,2021
1,0,0,1,1,1,2,5,3,1,1,4,41,27.3009567240363,2021
1,1,0,1,1,1,2,3,3,3,2,4,42,6.21947025691283,2021
1,0,1,1,1,1,2,3,3,3,1,8,81,29.479470492725,2021
2, , , ,1,1,2,4,3,2,1,3,31,6.37417860418254,2021
2, , , ,1,1,2,3,3,3,1,2,21,61.1425929752985,2021
1,0,1,0,1,1,2,4,4,4,2,8,82,6.09417514721403,2021
2, , , ,1,1,2,2,2,2,2,2,22,7.06196741746573,2021
1,0,0,1,1,1,2,4,4,4,1,5,51,29.1272730128768,2021
2, , , ,1,1,3,3,3,3,1,1,11,6.54291979756102,2021
1,0,0,1,1,1,2,4,3,2,1,5,51,29.1272730128768,2021
1,0,1,0,2,2,2,3,4,3,3,7,73,1.03020899654945,2021
1,0,1,0,1,1,2,4,3,3,1,4,41,33.5550840264281,2021
2, , , ,1,1,3,3,3,2,1,4,41,27.3009567240363,2021
1,0,1,0,2,2,2,4,3,2,2,3,32,3.21239829018108,2021
2, , , ,1,1,2,4,4,3,1,1,11,6.54291979756102,2021
2, , , ,1,1,2,5,3,4,1,8,81,25.6475846590647,2021
1,0,0,1,1,1,2,4,4,4,1,5,51,29.1272730128768,2021
1,0,0,1,1,1,2,3,3,3,1,5,51,29.1272730128768,2021
2, , , ,1,1,3,3,3,2,1,4,41,27.3009567240363,2021
2, , , ,8,3,1,5,4,5,1,8,81,25.6475846590647,2021
1,0,1,0,1,1,2,4,4,3,1,4,41,33.5550840264281,2021
2, , , ,10,4,2,3,3,3,1,5,51,35.7997744653139,2021
2, , , ,1,1,2,2,3,2,1,4,41,27.3009567240363,2021
1,0,0,1,1,1,2,3,4,3,2,5,52,5.39251695038413,2021
2, , , ,1,1,2,3,3,3,2,10,102,5.0254564956387,2021
2, , , ,1,1,2,2,2,2,2,4,42,6.21947025691283,2021
1,0,0,1,1,1,2,4,4,1,2,5,52,5.39251695038413,2021
1,0,1,1,1,1,2,5,4,3,1,2,21,53.1949795365455,2021
2, , , ,1,1,2,4,4,3,2,2,22,8.11706298550759,2021
1,0,1,1,1,1,2,5,5,5,1,5,51,29.1272730128768,2021
2, , , ,1,1,2,5,5,3,1,11,111,34.1117471825032,2021
1,0,0,1,1,1,2,4,3,3,1,5,51,33.4790428311607,2021
2, , , ,1,1,2,4,3,3,1,2,21,81.6425217842732,2021
2, , , ,1,1,2,3,3,2,1,4,41,27.3009567240363,2021
2, , , ,1,1,2,3,3,3,1,11,111,25.3913746476886,2021
1,0,0,1,1,1,2,1,2,2,1,5,51,39.1306964241675,2021
2, , , ,1,1,2,3,3,3,1,2,21,81.6425217842732,2021
2, , , ,1,1,2,3,3,3,1,2,21,81.6425217842732,2021
2, , , ,1,1,2,3,2,4,1,2,21,81.6425217842732,2021
2, , , ,1,1,2,3,4,4,2,1,12,1.71279343724558,2021
2, , , ,1,1,2,3,4,4,2,1,12,1.71279343724558,2021
2, , , ,1,1,2,3,3,3,2,1,12,1.71279343724558,2021
2, , , ,1,1,2,3,4,2,1,4,41,27.3009567240363,2021
2, , , ,1,1,3,4,2,3,1,5,51,33.6748786976754,2021
1,0,0,1,1,1,2,5,5,5,1,5,51,29.1272730128768,2021
1,0,1,1,1,1,2,5,4,5,1,5,51,29.1272730128768,2021
2, , , ,1,1,2,3,3,2,1,11,111,25.3913746476886,2021
2, , , ,1,1,3,2,2,2,1,2,21,71.4641770485735,2021
2, , , ,1,1,2,5,5,5,1,10,101,11.209825701582,2021
1,0,1,0,1,1,2,4,4,2,2,1,12,1.49487759815264,2021
2, , , ,1,1,2,5,4,2,1,11,111,25.3913746476886,2021
2, , , ,1,1,2,2,2,2,1,1,11,6.54291979756102,2021
1,0,0,1,1,1,2,5,5,5,1,5,51,29.1272730128768,2021
2, , , ,1,1,2,3,3,3,2,2,22,8.11706298550759,2021
1,0,0,1,1,1,2,5,5,1,1,5,51,29.1272730128768,2021
2, , , ,1,1,2,4,4,2,1,4,41,31.379865155643,2021
2, , , ,1,1,2,4,4,2,1,4,41,31.379865155643,2021
1,0,0,1,1,1,2,5,5,1,1,5,51,39.1306964241675,2021
2, , , ,1,1,2,3,3,3,2,2,22,7.06196741746573,2021
1,0,0,1,1,1,3,5,5,1,1,6,61,23.3386552502009,2021
2, , , ,1,1,2,3,3,3,1,1,11,6.54291979756102,2021
1,0,0,1,1,1,2,1,1,1,1,6,61,23.3386552502009,2021
2, , , ,1,1,2,3,3,2,1,4,41,31.379865155643,2021
1,0,0,1,1,1,2,3,3,3,1,6,61,23.3386552502009,2021
2, , , ,1,1,2,4,4,3,1,4,41,31.379865155643,2021
2, , , ,1,1,2,3,3,3,1,3,31,5.54563167690258,2021
2, , , ,2,2,2,4,3,3,3,4,43,1.33015029080647,2021
2, , , ,1,1,3,2,2,2,1,3,31,7.45021442732338,2021
2, , , ,1,1,2,4,5,2,1,4,41,31.379865155643,2021
1,0,0,1,1,1,3,4,4,4,1,2,21,53.1949795365455,2021
1,0,1,0,4,2,2,3,3,3,2,5,52,6.62783950075891,2021
2, , , ,1,1,2,5,5,3,1,15,151,7.94590131600282,2021
2, , , ,1,1,2,2,3,3,1,7,71,23.6473477708624,2021
2, , , ,1,1,2,3,3,3,2,1,12,1.49487759815264,2021
1,0,0,1,1,1,2,3,3,3,1,6,61,23.3386552502009,2021
2, , , ,1,1,2,3,3,3,1,2,21,53.1949795365455,2021
1,0,0,1,1,1,2,4,4,3,1,6,61,23.3386552502009,2021
2, , , ,1,1,2,5,5,3,2,15,152,2.11330089987238,2021
2, , , ,1,1,2,5,5,3,1,15,151,7.94590131600282,2021
2, , , ,1,1,2,5,5,3,1,2,21,53.1949795365455,2021
1,0,1,0,1,1,2,4,4,4,2,2,22,7.06196741746573,2021
1,0,0,1,1,1,1,5,3,2,1,6,61,23.3386552502009,2021
2, , , ,1,1,3,5,4,4,1,2,21,53.1949795365455,2021
2, , , ,1,1,3,4,4,3,1,4,41,31.379865155643,2021
2, , , ,10,4,3,3,3,3,1,2,21,65.3809324770437,2021
1,1,0,0,1,1,3,5,5,1,3,2,23,1.80979125904423,2021
2, , , ,1,1,2,3,3,2,1,4,41,31.379865155643,2021
