it_org_any,label,N,mean,sd,se,ci95_low,ci95_high
0,정보화 담당 체계 미보유,5853,0.72,1.132,0.015,0.691,0.749
1,정보화 담당 체계 보유,6350,1.022,1.361,0.017,0.988,1.055
