변수명,값,라벨,N,비율(%)
region,1,서울,3893,31.9
region,2,부산,673,5.52
region,3,대구,394,3.23
region,4,인천,534,4.38
region,5,광주,247,2.02
region,6,대전,263,2.16
region,7,울산,229,1.88
region,8,세종,44,0.36
region,9,경기,2873,23.54
region,10,강원,268,2.2
region,11,충북,371,3.04
region,12,충남,470,3.85
region,13,전북,284,2.33
region,14,전남,376,3.08
region,15,경북,502,4.11
region,16,경남,652,5.34
region,17,제주,130,1.07
