size_group,definition,N,share,percent
SME,"firm_size categories 1-2, firms with 10-249 employees",9450,0.774399737769401,77.43997377694009
Large_proxy,"firm_size categories 3-4, firms with 250 or more employees",2753,0.22560026223059904,22.560026223059904
