firm_size,definition,N,share,percent
1,10-49 employees,5666,0.4643120544128493,46.43120544128493
2,50-249 employees,3784,0.3100876833565517,31.00876833565517
3,250-999 employees,2113,0.1731541424239941,17.31541424239941
4,1000+ employees,640,0.052446119806604935,5.244611980660493
