it_org_any,label,N,mean,sd,se,ci95_low,ci95_high
0,정보화 담당 체계 미보유,5853,3.838,0.768,0.01,3.818,3.857
1,정보화 담당 체계 보유,6350,4.1,0.739,0.009,4.082,4.118
