ai_use_sum,it_org_any,it_org_label,predicted,ci_lower,ci_upper,ai_range_rule,control_firm_size,control_industry,control_region,control_firm_type,control_it_invest_sum
2.28,0,it_org_any = 0,3.953935236796268,3.9007472456502943,4.007123227942242,p5_to_p95,1,2,1,2,3.201425878882242
2.31,0,it_org_any = 0,3.9532443859751316,3.8997690917427326,4.006719680207531,p5_to_p95,1,2,1,2,3.201425878882242
2.34,0,it_org_any = 0,3.9525535351539953,3.898787258961078,4.006319811346913,p5_to_p95,1,2,1,2,3.201425878882242
2.37,0,it_org_any = 0,3.951862684332859,3.8978018067097713,4.005923561955947,p5_to_p95,1,2,1,2,3.201425878882242
2.4,0,it_org_any = 0,3.9511718335117227,3.8968127938364505,4.005530873186995,p5_to_p95,1,2,1,2,3.201425878882242
2.4299999999999997,0,it_org_any = 0,3.950480982690586,3.895820278608301,4.005141686772871,p5_to_p95,1,2,1,2,3.201425878882242
2.46,0,it_org_any = 0,3.9497901318694497,3.894824318690362,4.0047559450485375,p5_to_p95,1,2,1,2,3.201425878882242
2.4899999999999998,0,it_org_any = 0,3.9490992810483134,3.893824971125714,4.004373590970913,p5_to_p95,1,2,1,2,3.201425878882242
2.52,0,it_org_any = 0,3.948408430227177,3.89282229231749,4.003994568136864,p5_to_p95,1,2,1,2,3.201425878882242
2.55,0,it_org_any = 0,3.947717579406041,3.8918163380126347,4.003618820799447,p5_to_p95,1,2,1,2,3.201425878882242
2.58,0,it_org_any = 0,3.947026728584904,3.890807163287341,4.003246293882467,p5_to_p95,1,2,1,2,3.201425878882242
2.61,0,it_org_any = 0,3.946335877763768,3.8897948225341037,4.002876932993432,p5_to_p95,1,2,1,2,3.201425878882242
2.6399999999999997,0,it_org_any = 0,3.9456450269426315,3.888779369450302,4.002510684434961,p5_to_p95,1,2,1,2,3.201425878882242
2.67,0,it_org_any = 0,3.9449541761214952,3.8877608570282667,4.002147495214723,p5_to_p95,1,2,1,2,3.201425878882242
2.6999999999999997,0,it_org_any = 0,3.944263325300359,3.886739337546738,4.00178731305398,p5_to_p95,1,2,1,2,3.201425878882242
2.73,0,it_org_any = 0,3.943572474479222,3.885714862563662,4.001430086394782,p5_to_p95,1,2,1,2,3.201425878882242
2.76,0,it_org_any = 0,3.942881623658086,3.884687482910255,4.0010757644059165,p5_to_p95,1,2,1,2,3.201425878882242
2.79,0,it_org_any = 0,3.9421907728369496,3.883657248686262,4.000724296987637,p5_to_p95,1,2,1,2,3.201425878882242
2.82,0,it_org_any = 0,3.9414999220158133,3.8826242092563588,4.000375634775268,p5_to_p95,1,2,1,2,3.201425878882242
2.85,0,it_org_any = 0,3.940809071194677,3.881588413247619,4.000029729141735,p5_to_p95,1,2,1,2,3.201425878882242
2.88,0,it_org_any = 0,3.9401182203735408,3.8805499085479984,3.999686532199083,p5_to_p95,1,2,1,2,3.201425878882242
2.9099999999999997,0,it_org_any = 0,3.939427369552404,3.8795087423057657,3.9993459967990423,p5_to_p95,1,2,1,2,3.201425878882242
2.94,0,it_org_any = 0,3.9387365187312677,3.8784649609298296,3.999008076532706,p5_to_p95,1,2,1,2,3.201425878882242
2.9699999999999998,0,it_org_any = 0,3.9380456679101314,3.8774186100908987,3.998672725729364,p5_to_p95,1,2,1,2,3.201425878882242
3.0,0,it_org_any = 0,3.937354817088995,3.8763697347234283,3.998339899454562,p5_to_p95,1,2,1,2,3.201425878882242
0.0,1,it_org_any = 1,4.015132873264378,3.9691796504437593,4.061086096084996,p5_to_p95,1,2,1,2,3.201425878882242
0.03,1,it_org_any = 1,4.016182134151103,3.9702980127285907,4.062066255573616,p5_to_p95,1,2,1,2,3.201425878882242
0.06,1,it_org_any = 1,4.017231395037829,3.971412898225504,4.063049891850154,p5_to_p95,1,2,1,2,3.201425878882242
0.09,1,it_org_any = 1,4.018280655924554,3.9725242919750783,4.0640370198740285,p5_to_p95,1,2,1,2,3.201425878882242
0.12,1,it_org_any = 1,4.019329916811279,3.9736321797346656,4.065027653887893,p5_to_p95,1,2,1,2,3.201425878882242
0.15,1,it_org_any = 1,4.020379177698004,3.97473654799418,4.066021807401828,p5_to_p95,1,2,1,2,3.201425878882242
0.18,1,it_org_any = 1,4.02142843858473,3.975837383991222,4.067019493178237,p5_to_p95,1,2,1,2,3.201425878882242
0.21,1,it_org_any = 1,4.022477699471455,3.976934675725478,4.068020723217432,p5_to_p95,1,2,1,2,3.201425878882242
0.24,1,it_org_any = 1,4.02352696035818,3.978028411972372,4.069025508743988,p5_to_p95,1,2,1,2,3.201425878882242
0.27,1,it_org_any = 1,4.024576221244906,3.97911858229593,4.070033860193882,p5_to_p95,1,2,1,2,3.201425878882242
