candidate,formula,N,r_squared,ai_dmi_coef,ai_dmi_pvalue,recommended_for_manuscript
DMI-only moderation,effect_proc_improve ~ ai_use_sum + dmi + ai_use_sum:dmi + C(firm_size) + C(industry) + C(region) + C(firm_type) + it_invest_sum,12203,0.14880198772901787,0.0006099858590529422,0.3915041770916191,False
Integrated model,effect_proc_improve ~ ai_use_sum + it_org_any + dmi + ai_use_sum:it_org_any + ai_use_sum:dmi + C(firm_size) + C(industry) + C(region) + C(firm_type) + it_invest_sum,12203,0.15166016437805896,-0.0012293062021758666,0.1218328346169836,True
